source_id,city,sub_market,locality,property_type,bhk,area_sqft,floor,total_floors,furnishing,facing,bathroom,has_parking,has_lift,has_clubhouse,has_pool,has_gym,has_security,has_power_backup,rera_approved,possession_status,listed_price,project_name,developer,age_years,age_years_is_estimated,total_floors_is_estimated,floor_is_estimated
12555,Mumbai,Thane,Kalyan West,Apartment,1,645.0,1.0,8.0,Unfurnished,Unknown,1.0,False,True,True,False,False,False,True,False,Ready to Move,4500000.0,Royce Paradise,Royce Developers,3,True,False,False
12554,Mumbai,Thane,Bhoiwada,Apartment,2,675.0,5.0,22.0,Unfurnished,Unknown,2.0,True,True,True,True,True,True,True,False,Under Construction,7500000.0,Godrej Nirvaan,Godrej Properties,0,True,False,False
12553,Mumbai,Thane,Kalyan West,Apartment,1,607.0,9.0,15.0,Unfurnished,Unknown,1.0,False,True,True,True,True,False,False,False,Ready to Move,3800000.0,Raunak City 2,Raunak Group,3,True,False,False
12552,Mumbai,Thane,Kalyan West,Apartment,2,950.0,3.0,8.0,Unfurnished,Unknown,2.0,True,True,True,False,True,True,False,False,Ready to Move,6500000.0,Niraj City Phase 2,Shree Samarth Developers,3,True,False,False
12551,Mumbai,Thane,Kalyan West,Apartment,1,603.0,1.0,4.0,Unfurnished,East,1.0,False,True,True,True,True,False,False,False,Ready to Move,2700000.0,Haware Pinnacle,Haware Engineers & Builders Pvt Ltd,3,True,False,False
12550,Mumbai,Thane,Kalyan West,Apartment,2,1080.0,18.0,29.0,Furnished,East,2.0,False,True,True,True,True,True,True,False,Ready to Move,6500000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),3,True,False,False
12549,Mumbai,Thane,Kalyan West,Apartment,1,580.0,6.0,7.0,Unfurnished,North - East,1.0,False,True,True,True,True,True,False,False,Ready to Move,3400000.0,Raunak City 2,Raunak Group,3,True,False,False
12548,Mumbai,Thane,Kalyan West,Apartment,2,650.0,6.0,15.0,Semi-Furnished,East,2.0,False,True,True,False,False,True,True,False,Ready to Move,6900000.0,Sai Sharnam,OSSK CORP,3,True,False,False
12547,Mumbai,Thane,Kalyan West,Apartment,2,927.0,2.0,18.0,Unfurnished,North - East,1.0,False,True,True,True,True,True,True,False,Ready to Move,6300000.0,Tata Amantra,TATA Housing Development Company Ltd.,3,True,False,False
12546,Mumbai,Thane,Kalyan West,Apartment,1,429.0,4.0,4.0,Unfurnished,North,1.0,False,True,True,True,True,True,True,False,Ready to Move,2000000.0,Haware Pinnacle,Haware Engineers & Builders Pvt Ltd,3,True,False,False
12545,Mumbai,Thane,Kalyan West,Apartment,3,885.0,15.0,23.0,Semi-Furnished,East,3.0,True,True,True,True,True,True,True,False,Ready to Move,13000000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),3,True,False,False
12544,Mumbai,Thane,Kalyan West,Apartment,1,383.0,4.0,7.0,Unfurnished,Unknown,1.0,False,False,False,False,False,False,False,True,Ready to Move,2853100.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),3,True,False,False
12543,Mumbai,Thane,Kalyan West,Apartment,1,420.0,5.0,15.0,Unfurnished,East,2.0,False,True,True,True,True,True,True,False,Ready to Move,3450000.0,Raunak City 2,Raunak Group,3,True,False,False
12542,Mumbai,Thane,Kalyan West,Apartment,1,400.0,5.0,14.0,Furnished,South - East,1.0,True,True,True,True,True,True,True,False,Under Construction,3500000.0,Mahindra Happinest Kalyan,Mahindra Lifespace Developers Ltd.,0,True,False,False
12541,Mumbai,Thane,Kalyan West,Apartment,4,1115.0,6.0,8.0,Semi-Furnished,Unknown,3.0,True,True,False,False,False,True,False,False,Ready to Move,20000000.0,Royal Residency,Royal Builders and Developers,3,True,False,False
12540,Mumbai,Thane,Kalyan West,Apartment,2,1017.0,9.0,15.0,Unfurnished,Unknown,2.0,False,True,False,True,False,True,False,False,Ready to Move,7500000.0,Tata Amantra,TATA Housing Development Company Ltd.,3,True,False,False
12539,Mumbai,Thane,Kalyan West,Apartment,2,750.0,0.0,3.0,Furnished,East,2.0,True,True,True,True,True,True,True,False,Ready to Move,5000000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),3,True,False,False
12538,Mumbai,Thane,Kalyan West,Apartment,2,850.0,6.0,8.0,Semi-Furnished,West,2.0,False,True,True,True,True,True,True,False,Ready to Move,6500000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),3,True,False,False
12537,Mumbai,Thane,Kalyan West,Apartment,1,480.0,6.0,7.0,Semi-Furnished,East,1.0,False,True,True,True,True,True,True,False,Ready to Move,4000000.0,Raunak City 3,Raunak Group,3,True,False,False
12536,Mumbai,Thane,Kalyan West,Apartment,1,450.0,7.0,7.0,Unfurnished,Unknown,1.0,False,True,True,False,True,True,True,False,Ready to Move,4800000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),3,True,False,False
12535,Mumbai,Thane,Kalyan West,Apartment,1,694.0,7.0,7.0,Semi-Furnished,North - West,1.0,False,True,True,True,True,True,True,False,Ready to Move,4700000.0,Seasons Avenue Kalyan,Individual Seller (Not Builder-Listed),3,True,False,False
12534,Mumbai,Thane,Kalyan West,Apartment,1,466.0,4.0,4.0,Unfurnished,West,1.0,False,True,True,True,True,True,False,False,Ready to Move,3600000.0,Haware Pinnacle,Haware Engineers & Builders Pvt Ltd,3,True,False,False
12533,Mumbai,Thane,Kalyan West,Apartment,2,1000.0,1.0,5.0,Unfurnished,Unknown,2.0,False,True,False,False,False,True,True,False,Ready to Move,5999999.0,Mahavir Heights,Mahavir Builders,3,True,False,False
12532,Mumbai,Thane,Rambaug Lane Number 4,Apartment,3,1240.0,5.0,7.0,Furnished,East,4.0,True,True,True,True,True,True,True,False,Ready to Move,12500000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),3,True,False,False
12531,Mumbai,Thane,Kalyan West,Apartment,1,491.0,15.0,15.0,Unfurnished,East,2.0,True,True,False,False,True,False,False,False,Ready to Move,5499000.0,Kohinoor Majestic,Kohinoor Group,3,True,False,False
12530,Mumbai,Thane,Kalyan West,Apartment,2,548.0,1.0,9.0,Semi-Furnished,East,2.0,True,True,True,True,True,True,True,False,Ready to Move,5000000.0,Haware Pinnacle,Haware Engineers & Builders Pvt Ltd,3,True,False,False
